fecha,pib_no_min_dipres,gap_no_min_dipres
2001-07-01,20432.453058556,1.718110254482852
2001-10-01,20589.93037032,1.008590218797245
2002-01-01,20800.867733699,0.5494861838180043
2002-04-01,20983.916348037,-0.05549707821579375
2002-07-01,21241.550849296,-0.32116588059896145
2002-10-01,21512.307583598,-0.5473677606707028
2003-01-01,21791.553006095,-0.7591011036005568
2003-04-01,22080.290655447,-0.9543786687252975
2003-07-01,22241.648331127,-1.7489497437102486
2003-10-01,22435.668219742,-2.414612078578493
2004-01-01,22930.745680936,-1.7769810684180598
2004-04-01,23377.078315726,-1.4028913337874371
2004-07-01,24007.393780709,-0.3012559365581424
2004-10-01,24485.268204242,0.10965567362912765
2005-01-01,24694.484515853,-0.5963186264899889
2005-04-01,25311.682157156,0.3230648776138878
2005-07-01,25797.890713086,0.6887641181338111
2005-10-01,26177.827993018,0.6305377635086984
2006-01-01,26505.657566947,0.37563540313794164
2006-04-01,27108.255962943,1.14864992406023
2006-07-01,27539.161203775,1.2785893946485771
2006-10-01,28118.41045859,1.9435793108430133
2007-01-01,28343.739687043,1.3576588661033284
2007-04-01,28732.283392805,1.3682556143635338
2007-07-01,28960.448834381,0.8413144790305083
2007-10-01,29820.133875595,2.4806677031408597
2008-01-01,30546.43760596,3.6316280599329787
2008-04-01,30793.061950733,3.2076578506286424
2008-07-01,30785.116941103,1.9757531768219039
2008-10-01,30500.866288158,-0.14333506713466448
2009-01-01,30325.012848283,-1.9069775124556543
2009-04-01,29968.822850734,-4.276397126624509
2009-07-01,30271.150305365,-4.470325454407664
2009-10-01,30605.489610146,-4.584012641201518
2010-01-01,30809.961015807,-5.1465459567578975
2010-04-01,31907.933283424,-2.8885535593632383
2010-07-01,32666.156100396,-1.7947754401635763
2010-10-01,33284.893350148,-1.1780833185186523
2011-01-01,34076.718776362,-0.08456935934084697
2011-04-01,34637.373751281,0.29979772886665756
2011-07-01,35133.692626757,0.49300339999600595
2011-10-01,35739.923434875,1.0000092674994576
2012-01-01,36561.560063168,2.10234350882903
2012-04-01,37314.933333598,3.011420319718461
2012-07-01,37683.949443037,2.9104848994572663
2012-10-01,37789.897853841,2.1554102609993464
2013-01-01,38069.382213065,1.9074147288483445
2013-04-01,38330.40887537,1.6573322965246717
2013-07-01,38532.143925959,1.2995719803747363
2013-10-01,38674.956460543,0.8357863246503783
2014-01-01,38803.446855716,0.38011098780508235
2014-04-01,38980.02966266,0.09007011643547003
2014-07-01,38982.307883944,-0.6082225699392652
2014-10-01,39401.957883802,-0.20505014083216366
2015-01-01,39508.815235607,-0.568271376942775
2015-04-01,39922.441562549,-0.13019246295140618
2015-07-01,40191.45806763,-0.0338826636305356
2015-10-01,40474.038021217,0.11713878344181694
2016-01-01,40680.131640813,0.09869138593394666
2016-04-01,40639.000196394,-0.508075825681864
2016-07-01,40994.260013138,-0.12511017339615904
2016-10-01,41052.499493185,-0.4546207855394613
2017-01-01,40970.064183225,-1.1133275447894775
2017-04-01,41338.046473075,-0.6649685705719222
2017-07-01,41924.74721262,0.30923385689956007
2017-10-01,42301.143497102,0.7778615144040657
2018-01-01,42646.983975744,1.1759245127398898
2018-04-01,43367.961627823,2.4437099759095915
2018-07-01,43145.698673854,1.526573937632314
2018-10-01,43714.510013772,2.4346255895107305
2019-01-01,43718.279098161,2.038526895824333
2019-04-01,44301.534694435,2.949884174452322
2019-07-01,44238.559232058,2.37700052120573
2019-10-01,42421.021550717,-2.2748974836787283
2020-01-01,43267.622911238,-0.7922435411888529
2020-04-01,37291.821472511,-16.19485771774496
2020-07-01,39349.864667757,-11.41759039671193
2020-10-01,42494.121786968,-4.378628962655462
2021-01-01,44304.074658941,-0.9012944378397947
2021-04-01,44749.135482677,-0.6297763320317173
2021-07-01,47145.82326195,3.836933305488266
2021-10-01,48296.466251448,5.487097485205439
2022-01-01,47948.75214288,4.002568161250686
2022-04-01,47780.462890157,2.8944215094286463
2022-07-01,47979.364306752,2.5624510316616167
2022-10-01,47459.077050491,0.7358450157292751
2023-01-01,47798.416657459,0.7234707925931616
2023-04-01,47985.964351758,0.40154787791450985
2023-07-01,48327.497625333,0.4079788875744228
2023-10-01,48433.821593813,-0.06512147935406887
2024-01-01,48940.086485915,0.2906963776069915
2024-04-01,48748.280992046,-0.7782232315241444
2024-07-01,49327.282412951,-0.2671386433355849
2024-10-01,49700.28736592,-0.17761251982726378
2025-01-01,50397.909403165,0.5577455526985631
2025-04-01,50432.323139744,-0.027717430610785243
2025-07-01,50821.93982158499,0.0921538469139449
2025-10-01,51069.395513532116,-0.06861174779952961
2026-01-01,51510.04475231078,0.1464159430042855
2026-04-01,51418.671451890536,-0.673672942157566
2026-07-01,51876.163938969,-0.4297314068814728
2026-10-01,52263.28678152751,-0.3279165286130592
